id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine colour
25,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,0
26,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,0
27,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,0
28,8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,0
29,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,0
30,7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,0
31,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,1
32,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7,1
33,6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6,1
34,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,1
35,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,0
36,6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5,1
37,8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7,1
38,6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6,1
39,6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7,1
40,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5,1
41,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,1
42,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6,0
43,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,0
44,8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7,1
45,7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7,0
46,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7,1
47,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,0
48,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7,0
49,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,0
50,7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,0
51,6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,1
52,7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,6,1
53,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,0
54,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5,1
55,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,1
56,6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6,1
57,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,1
58,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,0
59,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,0
60,6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5,1
61,7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7,1
62,8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5,1
63,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,0
64,7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,6,1
65,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,1
66,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6,0
67,6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7,0
68,5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,0
69,7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7,1
70,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,1
71,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,1
72,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,0
73,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8,1
74,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5,1
75,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,0
76,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,0
77,6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5,1
78,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7,1
79,7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6,1
80,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5,1
81,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,0
82,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5,0
83,7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7,1
84,6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6,0
85,7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,6,1
86,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,0
87,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,0
88,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6,1
89,6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6,1
90,8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6,0
91,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,1
92,8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6,1
93,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,0
94,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,0
95,7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7,1
96,6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5,1
97,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7,1
98,5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,6,1
99,7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8,1
100,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,1
101,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,0
102,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,0
103,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,0
104,6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,7,1
105,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,0
106,7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8,1
107,10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6,0
108,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7,0
109,5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,7,1
110,7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5,0
111,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,0
112,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,0
113,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,0
114,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,1
115,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,0
116,9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6,0
117,7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6,0
118,6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,6,1
119,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,0
120,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,8,1
121,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,0
122,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,0
123,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6,1
124,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,0
125,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6,0
126,8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5,1
127,8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,0
128,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,0
129,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,1
130,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,1
131,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,0
132,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,0
133,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6,0
134,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,1
135,7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5,1
136,7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,6,1
137,15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,0
138,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6,0
139,6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6,1
140,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,0
141,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,0
142,8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,0
143,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,1
144,6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6,1
145,7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5,0
146,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,0
147,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,0
148,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,0
149,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,0
150,6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5,1
151,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4,1
152,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6,1
153,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,0
154,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,1
155,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,0
156,6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6,1
157,7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6,1
158,7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5,1
159,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,0
160,8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6,0
161,10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,0
162,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,0
163,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,0
164,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,0
165,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5,1
166,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.56666667,5,1
167,7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,7,1
168,5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6,1
169,6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7,1
170,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,1
171,7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5,1
172,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,0
173,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,1
174,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,0
175,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,1
176,8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7,1
177,7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,7,1
178,7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6,1
179,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,0
180,7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,5,1
181,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,0
182,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,0
183,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,6,1
184,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,0
185,7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,0
186,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6,1
187,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,0
188,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,0
189,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7,0
190,6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6,0
191,7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6,1
192,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6,0
193,6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6,0
194,7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4,1
195,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,0
196,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,0
197,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5,0
198,6,0.27,0.32,3.6,0.035,36,133,0.99215,3.23,0.46,10.8,6,1
199,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,0
200,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,0
201,6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,5,1
202,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,0
203,6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7,1
204,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5,0
205,7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7,1
206,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7,1
207,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,0
208,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,1
209,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,0
210,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5,1
211,7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5,0
212,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,0
213,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,1
214,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,1
215,7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6,1
216,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,0
217,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8,1
218,9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7,0
219,7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7,1
220,6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,0
221,7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,7,1
222,6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,6,1
223,6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5,1
224,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,0
225,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,0
226,8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,0
227,6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6,1
228,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1
229,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,1
230,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,0
231,7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6,0
232,9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6,0
233,5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5,1
234,8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5,0
235,7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6,1
236,7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6,1
237,6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4,1
238,7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5,1
239,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,0
240,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,0
241,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7,0
242,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,0
243,7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,6,1
244,6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,1
245,8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,0
246,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,1
247,6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,1
248,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5,1
249,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6,0
250,6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6,1
251,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,0
252,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,0
253,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,0
254,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,0
255,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5,1
256,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7,1
257,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,1
258,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,0
259,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6,1
260,6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6,1
261,6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7,1
262,7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,0
263,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,0
264,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,0
265,8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,0
266,9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,0
267,5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6,1
268,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8,1
269,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,0
270,8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,5,1
271,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,0
272,6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,1
273,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,1
274,10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,6,1
275,6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6,1
276,9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5,0
277,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,0
278,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,0
279,6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6,1
280,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5,1
281,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,1
282,7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,0
283,5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,6,1
284,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,0
285,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,0
286,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,0
287,7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6,1
288,6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,6,1
289,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5,0
290,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4,1
291,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,1
292,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,0
293,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,0
294,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6,1
295,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,1
296,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,0
297,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,0
298,6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6,1
299,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,0
